2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-13 14:34:36 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-03-13 14:34:38 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-03-13 14:34:40 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-03-13 14:34:40 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-03-13 14:34:40 | INFO     | OpentronsSiLA2Server | Server stopped
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-13 14:35:04 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-03-13 14:35:06 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-03-13 14:35:08 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-03-13 14:35:08 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-03-13 14:35:08 | INFO     | OpentronsSiLA2Server | Server stopped
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-13 17:06:54 | INFO     | OpentronsSiLA2Server | Retry 1/3...
2026-03-13 17:06:56 | INFO     | OpentronsSiLA2Server | Retry 2/3...
2026-03-13 17:06:58 | ERROR    | OpentronsSiLA2Server | Robot not found after 3 retries - server cannot start
2026-03-13 17:06:58 | INFO     | OpentronsSiLA2Server | Shutting down...
2026-03-13 17:06:58 | INFO     | OpentronsSiLA2Server | Server stopped
2026-03-13 17:46:34 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-13 17:46:34 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-13 17:46:34 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-13 17:46:34 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-13 17:46:34 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-13 17:46:34 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-13 17:46:35 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-13 17:46:35 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-13 17:46:35 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-13 17:46:35 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-13 17:46:36 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-13 17:46:36 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-13 17:46:36 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-13 17:46:36 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-13 17:46:36 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-13 17:46:36 | INFO     | OpentronsSiLA2Server | ============================================================
