2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-11 10:23:03 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-11 10:23:03 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-11 10:23:04 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-11 10:23:04 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-11 10:23:04 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-11 10:23:04 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-11 10:23:04 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-11 10:23:04 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Initializing OpentronsSiLA2Server...
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Directories initialized
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Hardware config folder: C:\Users\PC\Desktop\LabOS\v1\Library\HardwareConfig
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Available configs: ['Generic_HAL_20260303_133955.json', 'SerialDilution_Setup.json', 'Standard_Flex_Setup.json']
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Initialized tip racks from HAL: ['opentrons_flex_96_filtertiprack_1000ul']
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Components initialized
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Robot connected: jntlbot
2026-03-11 10:26:24 | WARNING  | OpentronsSiLA2Server | gRPC servicer not available - server will have no RPC methods
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | SiLA2Common adapter registered (Plug & Play enabled)
2026-03-11 10:26:24 | INFO     | OpentronsSiLA2Server | Starting SiLA2 server on 0.0.0.0:50057...
2026-03-11 10:26:25 | INFO     | OpentronsSiLA2Server | ============================================================
2026-03-11 10:26:25 | INFO     | OpentronsSiLA2Server |   OpentronsSiLA2Server v1.0.0
2026-03-11 10:26:25 | INFO     | OpentronsSiLA2Server |   gRPC: 0.0.0.0:50057
2026-03-11 10:26:25 | INFO     | OpentronsSiLA2Server |   Robot: 169.254.161.83:31950
2026-03-11 10:26:25 | INFO     | OpentronsSiLA2Server |   Hardware: Standard_Flex_Setup
2026-03-11 10:26:25 | INFO     | OpentronsSiLA2Server | ============================================================
